commodity,model,feature,importance
Yogurt,random_forest,yoy_pct_change,0.0020389719636849176
Yogurt,random_forest,State_NORTH CAROLINA,0.001783495175905132
Yogurt,random_forest,State_PENNSYLVANIA,0.0013094487753767233
Yogurt,random_forest,State_ILLINOIS,0.0011567849252794844
Yogurt,random_forest,State_WISCONSIN,0.0009187021159870317
Yogurt,random_forest,State_TEXAS,0.0005921709832835693
Yogurt,random_forest,State_TENNESSEE,0.00047407810441165246
Yogurt,random_forest,State_UTAH,0.0003555431540630896
Yogurt,random_forest,State_OREGON,0.00029672014027392707
Yogurt,random_forest,State_COLORADO,0.00028039268910476546
Yogurt,random_forest,State_IOWA,8.732771524214398e-05
Yogurt,random_forest,State_FLORIDA,0.0
Yogurt,random_forest,commodity_Yogurt,0.0
Yogurt,xgboost,rolling_3_mean,0.39056500792503357
Yogurt,xgboost,total_production,0.35406598448753357
Yogurt,xgboost,state_share_of_commodity,0.17426522076129913
Yogurt,xgboost,rolling_5_mean,0.056293245404958725
Yogurt,xgboost,State_TEXAS,0.008473058231174946
Yogurt,xgboost,production_lag_1,0.0026918917428702116
Yogurt,xgboost,Year,0.001966905314475298
Yogurt,xgboost,production_lag_3,0.001900352886877954
Yogurt,xgboost,State_TENNESSEE,0.0017675416311249137
Yogurt,xgboost,State_WISCONSIN,0.0017281408654525876
Yogurt,xgboost,expanding_mean_to_date,0.0015359612880274653
Yogurt,xgboost,production_rank_in_commodity_year,0.0011244332417845726
Yogurt,xgboost,State_ILLINOIS,0.0008710477268323302
Yogurt,xgboost,production_lag_2,0.0006354250363074243
Yogurt,xgboost,yoy_pct_change,0.00043725126306526363
Yogurt,xgboost,years_observed_so_far,0.0004079828504472971
Yogurt,xgboost,State_FLORIDA,0.00032781207119114697
Yogurt,xgboost,State_UTAH,0.0002520424604881555
Yogurt,xgboost,State_IOWA,0.0002334898163098842
Yogurt,xgboost,State_NEW YORK,0.00017952854977920651
Yogurt,xgboost,State_CALIFORNIA,0.0001375408173771575
Yogurt,xgboost,State_OREGON,6.556459265993908e-05
Yogurt,xgboost,State_COLORADO,4.350860035629012e-05
Yogurt,xgboost,State_NORTH CAROLINA,2.0496519937296398e-05
Yogurt,xgboost,State_PENNSYLVANIA,1.0536616173340008e-05
Yogurt,xgboost,State_NORTH DAKOTA,0.0
Yogurt,xgboost,commodity_Yogurt,0.0
