State,Year,commodity,total_production
SOUTH DAKOTA,1939,Milk,1642000000.0
TENNESSEE,1939,Milk,1855000000.0
TEXAS,1939,Milk,4192000000.0
UTAH,1939,Milk,543000000.0
VERMONT,1939,Milk,1348000000.0
VIRGINIA,1939,Milk,1431000000.0
WASHINGTON,1939,Milk,1942000000.0
WEST VIRGINIA,1939,Milk,787000000.0
WISCONSIN,1939,Milk,11973000000.0
WYOMING,1939,Milk,282000000.0
ALABAMA,1940,Milk,1143000000.0
ARIZONA,1940,Milk,232000000.0
ARKANSAS,1940,Milk,1335000000.0
CALIFORNIA,1940,Milk,4893000000.0
COLORADO,1940,Milk,1016000000.0
CONNECTICUT,1940,Milk,670000000.0
DELAWARE,1940,Milk,144000000.0
FLORIDA,1940,Milk,343000000.0
GEORGIA,1940,Milk,1053000000.0
IDAHO,1940,Milk,1228000000.0
ILLINOIS,1940,Milk,5188000000.0
INDIANA,1940,Milk,3225000000.0
IOWA,1940,Milk,6611000000.0
KANSAS,1940,Milk,2860000000.0
KENTUCKY,1940,Milk,1841000000.0
LOUISIANA,1940,Milk,628000000.0
MAINE,1940,Milk,628000000.0
MARYLAND,1940,Milk,922000000.0
MASSACHUSETTS,1940,Milk,810000000.0
MICHIGAN,1940,Milk,4949000000.0
MINNESOTA,1940,Milk,8405000000.0
MISSISSIPPI,1940,Milk,1176000000.0
MISSOURI,1940,Milk,3386000000.0
MONTANA,1940,Milk,688000000.0
NEBRASKA,1940,Milk,2589000000.0
NEVADA,1940,Milk,106000000.0
NEW HAMPSHIRE,1940,Milk,361000000.0
NEW JERSEY,1940,Milk,969000000.0
NEW MEXICO,1940,Milk,287000000.0
NEW YORK,1940,Milk,7658000000.0
NORTH CAROLINA,1940,Milk,1309000000.0
NORTH DAKOTA,1940,Milk,2081000000.0
OHIO,1940,Milk,4594000000.0
OKLAHOMA,1940,Milk,2380000000.0
OREGON,1940,Milk,1394000000.0
PENNSYLVANIA,1940,Milk,4696000000.0
RHODE ISLAND,1940,Milk,136000000.0
SOUTH CAROLINA,1940,Milk,539000000.0
SOUTH DAKOTA,1940,Milk,1746000000.0
TENNESSEE,1940,Milk,1820000000.0
TEXAS,1940,Milk,4192000000.0
UTAH,1940,Milk,550000000.0
